Year,Pesticide Type,Usage
1997,Fungicides and Bactericides,548.0
1998,Fungicides and Bactericides,599.0
1999,Fungicides and Bactericides,791.0
2000,Fungicides and Bactericides,1158.0
2001,Fungicides and Bactericides,2193.54
2002,Fungicides and Bactericides,3229.08
2003,Fungicides and Bactericides,4264.61
2004,Fungicides and Bactericides,5300.15
2005,Fungicides and Bactericides,6335.69
2006,Fungicides and Bactericides,7371.23
2007,Fungicides and Bactericides,8406.76
2008,Fungicides and Bactericides,9442.3
2009,Fungicides and Bactericides,10477.84
2010,Fungicides and Bactericides,9883.7
2011,Fungicides and Bactericides,11719.4
2012,Fungicides and Bactericides,10617.59
2013,Fungicides and Bactericides,12874.22
2014,Fungicides and Bactericides,13517.93
2015,Fungicides and Bactericides,10889.65
2016,Fungicides and Bactericides,11405.29
2017,Fungicides and Bactericides,11757.88
2018,Fungicides and Bactericides,11867.08
2019,Fungicides and Bactericides,11976.28
2020,Fungicides and Bactericides,12085.48
2021,Fungicides and Bactericides,12085.48
2022,Fungicides and Bactericides,12085.48
1990,Fungicides and Bactericides,14.0
1991,Fungicides and Bactericides,14.0
1992,Fungicides and Bactericides,14.0
1993,Fungicides and Bactericides,14.0
1994,Fungicides and Bactericides,9.0
1995,Fungicides and Bactericides,16.0
1996,Fungicides and Bactericides,25.0
1997,Fungicides and Bactericides,3.24
1998,Fungicides and Bactericides,3.3
1999,Fungicides and Bactericides,3.36
2000,Fungicides and Bactericides,3.42
2001,Fungicides and Bactericides,3.49
2002,Fungicides and Bactericides,3.55
2003,Fungicides and Bactericides,3.61
2004,Fungicides and Bactericides,3.67
2005,Fungicides and Bactericides,3.73
2006,Fungicides and Bactericides,3.79
2007,Fungicides and Bactericides,3.85
2008,Fungicides and Bactericides,3.92
2009,Fungicides and Bactericides,3.98
2010,Fungicides and Bactericides,4.04
2011,Fungicides and Bactericides,4.1
2012,Fungicides and Bactericides,4.16
2013,Fungicides and Bactericides,4.22
2014,Fungicides and Bactericides,4.28
2015,Fungicides and Bactericides,4.35
2016,Fungicides and Bactericides,4.41
2017,Fungicides and Bactericides,4.47
2018,Fungicides and Bactericides,4.53
2019,Fungicides and Bactericides,4.59
2020,Fungicides and Bactericides,4.65
2021,Fungicides and Bactericides,4.71
2022,Fungicides and Bactericides,4.71
1992,Fungicides and Bactericides,586.2
1993,Fungicides and Bactericides,586.2
1994,Fungicides and Bactericides,586.2
1995,Fungicides and Bactericides,586.2
1996,Fungicides and Bactericides,586.2
1997,Fungicides and Bactericides,586.2
1998,Fungicides and Bactericides,525.97
1999,Fungicides and Bactericides,509.55
2000,Fungicides and Bactericides,507.92
2001,Fungicides and Bactericides,548.59
2002,Fungicides and Bactericides,448.23
2003,Fungicides and Bactericides,536.64
2004,Fungicides and Bactericides,656.19
2005,Fungicides and Bactericides,1019.39
2006,Fungicides and Bactericides,1087.49
2007,Fungicides and Bactericides,1183.8
2008,Fungicides and Bactericides,1084.56
2009,Fungicides and Bactericides,1083.1
2010,Fungicides and Bactericides,946.61
2011,Fungicides and Bactericides,870.82
2012,Fungicides and Bactericides,690.92
2013,Fungicides and Bactericides,656.83
2014,Fungicides and Bactericides,587.92
2015,Fungicides and Bactericides,444.28
2016,Fungicides and Bactericides,308.98
2017,Fungicides and Bactericides,186.21
2018,Fungicides and Bactericides,211.88
2019,Fungicides and Bactericides,1031.4
