Area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czechoslovakia,9838.77,9838.75,9838.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,16.0,16.0,16.0,16.0,143.0,134.0,106.4,102.38999999999999,98.37,94.35,90.36,86.34,82.32,78.3,74.29,70.27,66.25,62.25,58.23,54.22,50.2,46.19,42.17,38.160000000000004,34.15,30.13,26.12,22.11,29.34,92.26,88.55999999999999,22.859999999999996,22.859999999999996
Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
Democratic Republic of the Congo,1105.73,1105.72,1105.71,1105.72,1105.71,1105.73,1105.73,1105.73,1105.72,1105.72,1105.73,1105.73,1105.72,1105.72,1105.73,1105.73,1105.73,1105.72,1105.72,1105.73,1105.72,1105.72,1105.73,1105.74,1105.72,1129.85,1113.59,1081.55,1045.34,1013.69,961.9,952.85,948.33
Denmark,5650.0,4628.0,4566.0,4103.0,3922.0,5043.0,3672.0,3679.0,3623.0,2867.0,3174.0,3311.0,2868.0,2954.0,2899.0,3246.0,3212.0,3336.0,4145.0,2836.0,3894.0,4549.74,5959.62,4197.96,1823.04,2585.1800000000003,2588.59,2708.1,2647.14,2660.86,3168.4700000000003,2975.54,3375.1
Djibouti,20.5,20.47,20.39,20.26,20.15,20.04,19.94,19.81,19.700000000000003,19.580000000000002,19.46,19.35,19.23,19.11,18.98,18.88,18.76,18.64,18.54,18.45,18.41,18.41,18.41,18.41,18.41,18.42,18.4,18.41,18.419999999999998,18.4,18.41,18.4,18.400000000000002
Dominican Republic,4971.0,4971.0,4971.0,4971.0,4971.0,3449.0,3493.0,3846.0,4375.0,4728.5,5082.0,7182.0,4018.07,854.14,3713.9599999999996,3515.56,4116.45,5689.799999999999,5409.43,5975.25,6316.61,6384.2300000000005,6451.83,6519.44,6587.03,5028.429999999999,5874.45,6815.45,7069.45,5570.83,4072.2400000000002,2573.63,1983.6
Ecuador,2537.0,2377.0,2012.0,1844.0,2670.0,2658.0,2407.0,7612.0,21500.0,14216.0,17948.0,7344.0,1302.49,30634.530000000002,29799.84,18391.230000000003,7953.42,14156.16,15396.140000000001,9666.869999999999,31637.12,17529.44,11469.74,6471.7699999999995,33573.94,44564.66,39239.6,37808.0,37408.2,34081.3,17868.54,1655.79,2350.0299999999997
Egypt,13214.0,8255.0,6156.0,4175.0,4283.01,4390.99,4499.0,4607.01,4714.99,4823.0,4931.01,5038.99,5147.0,5255.01,5362.99,5471.0,9781.0,9105.0,9527.0,9013.0,11590.0,12945.0,13991.0,13653.0,11363.0,8043.71,11523.61,8107.45,11277.41,12909.11,11747.64,10545.470000000001,9468.630000000001
El Salvador,2524.0,4096.0,3940.77,3785.54,3630.31,3475.09,3319.85,3164.63,3009.3900000000003,2854.15,2698.9300000000003,2543.69,2388.47,2233.2400000000002,2078.01,1922.78,2265.72,1940.7800000000002,3899.48,3333.88,3598.59,3231.1299999999997,2595.16,6005.08,5638.2300000000005,1747.3500000000001,1419.2,3133.73,2955.69,2525.7200000000003,3098.7,3793.4,3793.4
Equatorial Guinea,3.1300000000000003,3.0500000000000003,2.8800000000000003,19.279999999999998,52.25,59.44,50.510000000000005,24.709999999999997,24.419999999999998,23.400000000000002,17.18,11.850000000000001,9.29,18.55,30.52,60.83,128.41,155.9,163.39000000000001,169.8,180.22,204.4,185.07,176.78,156.56,108.83,85.89,62.18,72.25999999999999,77.88,80.17,78.25,77.3
Eritrea,,,,4.44,4.44,4.44,4.44,30.92,19.61,22.279999999999998,24.96,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63,27.63
Estonia,,,469.0,170.0,176.0,154.0,133.0,200.0,195.0,187.0,315.0,329.0,331.0,323.0,351.0,386.0,452.0,460.0,551.0,402.0,514.0,460.0,553.0,567.79,596.4,594.55,713.79,700.0699999999999,636.07,745.15,766.8599999999999,885.9300000000001,763.5600000000001
